"","Population","Sample","Lon","Lat"
"1","EWN","EWN01",148.24,-33.07
"2","EWN","EWN03",148.24,-33.07
"3","EWN","EWN04",148.24,-33.07
"4","EWN","EWN05",148.24,-33.07
"5","EWN","EWN06",148.24,-33.07
"6","EWN","EWN07",148.24,-33.07
"7","EWN","EWN08",148.24,-33.07
"8","EWN","EWN09",148.24,-33.07
"9","EWN","EWN10",148.24,-33.07
"10","VMJ","EWV01",143.14,-36.28
"11","VMJ","EWV03",143.14,-36.28
"12","VMJ","EWV05",143.14,-36.28
"13","VMJ","EWV06",143.14,-36.28
"14","VMJ","EWV07",143.14,-36.28
"15","VMJ","EWV08",143.14,-36.28
"16","VMJ","EWV09",143.14,-36.28
"17","NAL","NAL01",147.48,-32.38
"18","NAL","NAL02",147.48,-32.38
"19","NAL","NAL03",147.48,-32.38
"20","NAL","NAL04",147.48,-32.38
"21","NAL","NAL05",147.48,-32.38
"22","NAL","NAL06",147.48,-32.38
"23","NAL","NAL07",147.48,-32.38
"24","NAL","NAL08",147.48,-32.38
"25","NAL","NAL09",147.48,-32.38
"26","NAL","NAL11",147.48,-32.38
"27","NAL","NAL13",147.48,-32.38
"28","NAL","NAL14",147.48,-32.38
"29","NAL","NAL16",147.48,-32.38
"30","NAL","NAL17",147.48,-32.38
"31","NAL","NAL18",147.48,-32.38
"32","NAL","NAL19",147.48,-32.38
"33","NAL","NAL21",147.48,-32.38
"34","NAL","NAL24",147.48,-32.38
"35","NAL","NAL28",147.48,-32.38
"36","NAL","NAL29",147.48,-32.38
"37","NAL","NAL30",147.48,-32.38
"38","NBG","NBG01",148.07,-32.88
"39","NBG","NBG03B",148.07,-32.88
"40","NBG","NBG04",148.07,-32.88
"41","NBG","NBG05B",148.07,-32.88
"42","NBG","NBG06",148.07,-32.88
"43","NBG","NBG07",148.07,-32.88
"44","NBG","NBG08",148.07,-32.88
"45","NBG","NBG09",148.07,-32.88
"46","NBG","NBG10",148.07,-32.88
"47","NBG","NBG11",148.07,-32.88
"48","NBG","NBG12",148.07,-32.88
"49","NBG","NBG13",148.07,-32.88
"50","NBG","NBG14",148.07,-32.88
"51","NBG","NBG15",148.07,-32.88
"52","NBG","NBG16B",148.07,-32.88
"53","NBG","NBG17",148.07,-32.88
"54","NBG","NBG18B",148.07,-32.88
"55","NBG","NBG19B",148.07,-32.88
"56","NBG","NBG20",148.07,-32.88
"57","NBG","NBG21",148.07,-32.88
"58","NBG","NBG22",148.07,-32.88
"59","NBG","NBG23B",148.07,-32.88
"60","NBG","NBG24",148.07,-32.88
"61","NBG","NBG25",148.07,-32.88
"62","NBG","NBG26",148.07,-32.88
"63","NBG","NBG27B",148.07,-32.88
"64","NBG","NBG28",148.07,-32.88
"65","NBG","NBG29",148.07,-32.88
"66","NBG","NBG30",148.07,-32.88
"67","NBJ","NBJ01",147.04,-35.05
"68","NBJ","NBJ02",147.04,-35.05
"69","NBJ","NBJ03",147.04,-35.05
"70","NBJ","NBJ05",147.04,-35.05
"71","NBJ","NBJ06",147.04,-35.05
"72","NBJ","NBJ07",147.04,-35.05
"73","NBJ","NBJ08",147.04,-35.05
"74","NBJ","NBJ09",147.04,-35.05
"75","NBJ","NBJ11",147.04,-35.05
"76","NBJ","NBJ12",147.04,-35.05
"77","NBJ","NBJ13",147.04,-35.05
"78","NBJ","NBJ15",147.04,-35.05
"79","NBJ","NBJ16",147.04,-35.05
"80","NBJ","NBJ17",147.04,-35.05
