Sample,Population,Lon,Lat
EWN01,EWN,148.24,-33.07
EWN03,EWN,148.24,-33.07
EWN04,EWN,148.24,-33.07
EWN05,EWN,148.24,-33.07
EWN06,EWN,148.24,-33.07
EWN07,EWN,148.24,-33.07
EWN08,EWN,148.24,-33.07
EWN09,EWN,148.24,-33.07
EWN10,EWN,148.24,-33.07
EWV01,VMJ,143.14,-36.28
EWV03,VMJ,143.14,-36.28
EWV05,VMJ,143.14,-36.28
EWV06,VMJ,143.14,-36.28
EWV07,VMJ,143.14,-36.28
EWV08,VMJ,143.14,-36.28
EWV09,VMJ,143.14,-36.28
NAL01,NAL,147.48,-32.38
NAL02,NAL,147.48,-32.38
NAL03,NAL,147.48,-32.38
NAL04,NAL,147.48,-32.38
NAL05,NAL,147.48,-32.38
NAL06,NAL,147.48,-32.38
NAL07,NAL,147.48,-32.38
NAL08,NAL,147.48,-32.38
NAL09,NAL,147.48,-32.38
NAL11,NAL,147.48,-32.38
NAL13,NAL,147.48,-32.38
NAL14,NAL,147.48,-32.38
NAL16,NAL,147.48,-32.38
NAL17,NAL,147.48,-32.38
NAL18,NAL,147.48,-32.38
NAL19,NAL,147.48,-32.38
NAL21,NAL,147.48,-32.38
NAL24,NAL,147.48,-32.38
NAL28,NAL,147.48,-32.38
NAL29,NAL,147.48,-32.38
NAL30,NAL,147.48,-32.38
NBG01,NBG,148.07,-32.88
NBG03B,NBG,148.07,-32.88
NBG04,NBG,148.07,-32.88
NBG05B,NBG,148.07,-32.88
NBG06,NBG,148.07,-32.88
NBG07,NBG,148.07,-32.88
NBG08,NBG,148.07,-32.88
NBG09,NBG,148.07,-32.88
NBG10,NBG,148.07,-32.88
NBG11,NBG,148.07,-32.88
NBG12,NBG,148.07,-32.88
NBG13,NBG,148.07,-32.88
NBG14,NBG,148.07,-32.88
NBG15,NBG,148.07,-32.88
NBG16B,NBG,148.07,-32.88
NBG17,NBG,148.07,-32.88
NBG18B,NBG,148.07,-32.88
NBG19B,NBG,148.07,-32.88
NBG20,NBG,148.07,-32.88
NBG21,NBG,148.07,-32.88
NBG22,NBG,148.07,-32.88
NBG23B,NBG,148.07,-32.88
NBG24,NBG,148.07,-32.88
NBG25,NBG,148.07,-32.88
NBG26,NBG,148.07,-32.88
NBG27B,NBG,148.07,-32.88
NBG28,NBG,148.07,-32.88
NBG29,NBG,148.07,-32.88
NBG30,NBG,148.07,-32.88
NBJ01,NBJ,147.04,-35.05
NBJ02,NBJ,147.04,-35.05
NBJ03,NBJ,147.04,-35.05
NBJ05,NBJ,147.04,-35.05
NBJ06,NBJ,147.04,-35.05
NBJ07,NBJ,147.04,-35.05
NBJ08,NBJ,147.04,-35.05
NBJ09,NBJ,147.04,-35.05
NBJ11,NBJ,147.04,-35.05
NBJ12,NBJ,147.04,-35.05
NBJ13,NBJ,147.04,-35.05
NBJ15,NBJ,147.04,-35.05
NBJ16,NBJ,147.04,-35.05
NBJ17,NBJ,147.04,-35.05
NBJ20,NBJ,147.04,-35.05
NBJ22,NBJ,147.04,-35.05
NBJ24,NBJ,147.04,-35.05
NBJ25,NBJ,147.04,-35.05
NBJ28,NBJ,147.04,-35.05
NBJ29,NBJ,147.04,-35.05
NBJ30,NBJ,147.04,-35.05
NBY01,NBY,148.25,-33.33
NBY03,NBY,148.25,-33.33
NBY04,NBY,148.25,-33.33
NBY05,NBY,148.25,-33.33
NBY06,NBY,148.25,-33.33
NBY08,NBY,148.25,-33.33
NBY09,NBY,148.25,-33.33
NBY11,NBY,148.25,-33.33
NBY12,NBY,148.25,-33.33
NBY14,NBY,148.25,-33.33
NBY15,NBY,148.25,-33.33
NBY17,NBY,148.25,-33.33
NBY18,NBY,148.25,-33.33
NBY19,NBY,148.25,-33.33
NBY20,NBY,148.25,-33.33
NBY21,NBY,148.25,-33.33
NBY22,NBY,148.25,-33.33
NBY23,NBY,148.25,-33.33
NBY25,NBY,148.25,-33.33
NBY26,NBY,148.25,-33.33
NBY27,NBY,148.25,-33.33
NBY28,NBY,148.25,-33.33
NBY29,NBY,148.25,-33.33
NBY30,NBY,148.25,-33.33
NCB02B,NCB,144.96,-35.5
NCB03B,NCB,144.96,-35.5
NCB05,NCB,144.96,-35.5
NCB06,NCB,144.96,-35.5
NCB07,NCB,144.96,-35.5
NCB08,NCB,144.96,-35.5
NCB09B,NCB,144.96,-35.5
NCB10,NCB,144.96,-35.5
NCB11,NCB,144.96,-35.5
NCB12,NCB,144.96,-35.5
NCB13,NCB,144.96,-35.5
NCB14,NCB,144.96,-35.5
NCB15,NCB,144.96,-35.5
NCB16,NCB,144.96,-35.5
NCB17,NCB,144.96,-35.5
NCB18,NCB,144.96,-35.5
NCB19B,NCB,144.96,-35.5
NCB20,NCB,144.96,-35.5
NCB21,NCB,144.96,-35.5
NCB22B,NCB,144.96,-35.5
NCB23,NCB,144.96,-35.5
NCB24,NCB,144.96,-35.5
NCB25,NCB,144.96,-35.5
NCB27B,NCB,144.96,-35.5
NCB28,NCB,144.96,-35.5
NCB29,NCB,144.96,-35.5
NCB30B,NCB,144.96,-35.5
NCD02,NCD,147.07,-32.91
NCD03,NCD,147.07,-32.91
NCD04,NCD,147.07,-32.91
NCD07,NCD,147.07,-32.91
NCD08,NCD,147.07,-32.91
NCD10,NCD,147.07,-32.91
NCD11,NCD,147.07,-32.91
NCD13,NCD,147.07,-32.91
NCD16,NCD,147.07,-32.91
NCD18,NCD,147.07,-32.91
NCD19,NCD,147.07,-32.91
NCD20,NCD,147.07,-32.91
NCD21,NCD,147.07,-32.91
NCD22,NCD,147.07,-32.91
NCD23,NCD,147.07,-32.91
NCD25,NCD,147.07,-32.91
NCD26,NCD,147.07,-32.91
NCD27,NCD,147.07,-32.91
NCD29,NCD,147.07,-32.91
NCD30,NCD,147.07,-32.91
NCN01,NCN,146.34,-35.74
NCN02,NCN,146.34,-35.74
NCN04,NCN,146.34,-35.74
NCN08,NCN,146.34,-35.74
NCN09,NCN,146.34,-35.74
NCN10,NCN,146.34,-35.74
NCN11,NCN,146.34,-35.74
NCN12,NCN,146.34,-35.74
NCN13,NCN,146.34,-35.74
NCN14,NCN,146.34,-35.74
NCN15,NCN,146.34,-35.74
NCN16,NCN,146.34,-35.74
NCN17,NCN,146.34,-35.74
NCN18,NCN,146.34,-35.74
NCN20,NCN,146.34,-35.74
NCN21,NCN,146.34,-35.74
NCN22,NCN,146.34,-35.74
NCN24,NCN,146.34,-35.74
NCN25,NCN,146.34,-35.74
NCN26,NCN,146.34,-35.74
NCN27,NCN,146.34,-35.74
NCN28,NCN,146.34,-35.74
NCN29,NCN,146.34,-35.74
NCN30,NCN,146.34,-35.74
NCR01,NCR,148.52,-34.09
NCR02,NCR,148.52,-34.09
NCR07,NCR,148.52,-34.09
NCR08,NCR,148.52,-34.09
NCR15,NCR,148.52,-34.09
NCR16,NCR,148.52,-34.09
NCR19B,NCR,148.52,-34.09
NCR21,NCR,148.52,-34.09
NCR22B,NCR,148.52,-34.09
NCR23,NCR,148.52,-34.09
NCR24,NCR,148.52,-34.09
NCR25,NCR,148.52,-34.09
NCR26,NCR,148.52,-34.09
NCR27,NCR,148.52,-34.09
NCR28,NCR,148.52,-34.09
NCR29,NCR,148.52,-34.09
NCR30,NCR,148.52,-34.09
NCR31B,NCR,148.52,-34.09
NCR32,NCR,148.52,-34.09
NCR33,NCR,148.52,-34.09
NCR34,NCR,148.52,-34.09
NCR35,NCR,148.52,-34.09
NCR36,NCR,148.52,-34.09
NCR37B,NCR,148.52,-34.09
NCR38B,NCR,148.52,-34.09
NCR39,NCR,148.52,-34.09
NDU02,NDU,148.51,-32.33
NDU03,NDU,148.51,-32.33
NDU05,NDU,148.51,-32.33
NDU07,NDU,148.51,-32.33
NDU08,NDU,148.51,-32.33
NDU09,NDU,148.51,-32.33
NDU10,NDU,148.51,-32.33
NDU11,NDU,148.51,-32.33
NDU12,NDU,148.51,-32.33
NDU13,NDU,148.51,-32.33
NDU14,NDU,148.51,-32.33
NDU15,NDU,148.51,-32.33
NDU16,NDU,148.51,-32.33
NDU17,NDU,148.51,-32.33
NDU19,NDU,148.51,-32.33
NDU20,NDU,148.51,-32.33
NDU22,NDU,148.51,-32.33
NDU23,NDU,148.51,-32.33
NDU24,NDU,148.51,-32.33
NDU25,NDU,148.51,-32.33
NDU26,NDU,148.51,-32.33
NDU27,NDU,148.51,-32.33
NDU28,NDU,148.51,-32.33
NDU29,NDU,148.51,-32.33
NDU30,NDU,148.51,-32.33
NFN01,NFN,145.55,-35.68
NFN02,NFN,145.55,-35.68
NFN05,NFN,145.55,-35.68
NFN06,NFN,145.55,-35.68
NFN09,NFN,145.55,-35.68
NFN14,NFN,145.55,-35.68
NFN16,NFN,145.55,-35.68
NFN17,NFN,145.55,-35.68
NFN18,NFN,145.55,-35.68
NFN20,NFN,145.55,-35.68
NFN21,NFN,145.55,-35.68
NFN22,NFN,145.55,-35.68
NFN23,NFN,145.55,-35.68
NFN25,NFN,145.55,-35.68
NFN26,NFN,145.55,-35.68
NFN29,NFN,145.55,-35.68
NGR03,NGR,148.12,-34
NGR04,NGR,148.12,-34
NGR06,NGR,148.12,-34
NGR10,NGR,148.12,-34
NGR12,NGR,148.12,-34
NGR14,NGR,148.12,-34
NGR15,NGR,148.12,-34
NGR17,NGR,148.12,-34
NGR21,NGR,148.12,-34
NGR22,NGR,148.12,-34
NGR23,NGR,148.12,-34
NGR27,NGR,148.12,-34
NGR28,NGR,148.12,-34
NGR29,NGR,148.12,-34
NGR30,NGR,148.12,-34
NGR31,NGR,148.12,-34
NGR32,NGR,148.12,-34
NGR34,NGR,148.12,-34
NGR35,NGR,148.12,-34
NGR36,NGR,148.12,-34
NGR37,NGR,148.12,-34
NGR39,NGR,148.12,-34
NGR40,NGR,148.12,-34
NHI01,NHI,147.22,-33.84
NHI02,NHI,147.22,-33.84
NHI04,NHI,147.22,-33.84
NHI06,NHI,147.22,-33.84
NHI08,NHI,147.22,-33.84
NHI10,NHI,147.22,-33.84
NHI11,NHI,147.22,-33.84
NHI13,NHI,147.22,-33.84
NHI14,NHI,147.22,-33.84
NHI15,NHI,147.22,-33.84
NHI16,NHI,147.22,-33.84
NHI17,NHI,147.22,-33.84
NHI19,NHI,147.22,-33.84
NHI20,NHI,147.22,-33.84
NHI21,NHI,147.22,-33.84
NHI22,NHI,147.22,-33.84
NHI24,NHI,147.22,-33.84
NHI25,NHI,147.22,-33.84
NHI26,NHI,147.22,-33.84
NHI28,NHI,147.22,-33.84
NHI29,NHI,147.22,-33.84
NHI30,NHI,147.22,-33.84
NMV01,NMV,144.91,-35.7
NMV03,NMV,144.91,-35.7
NMV04,NMV,144.91,-35.7
NMV05,NMV,144.91,-35.7
NMV06,NMV,144.91,-35.7
NMV08,NMV,144.91,-35.7
NMV09,NMV,144.91,-35.7
NMV10,NMV,144.91,-35.7
NMV12,NMV,144.91,-35.7
NMV13,NMV,144.91,-35.7
NMV14,NMV,144.91,-35.7
NMV16,NMV,144.91,-35.7
NMV18,NMV,144.91,-35.7
NMV19,NMV,144.91,-35.7
NMV20,NMV,144.91,-35.7
NMV23,NMV,144.91,-35.7
NMV25,NMV,144.91,-35.7
NMV26,NMV,144.91,-35.7
NMV28,NMV,144.91,-35.7
NMV29,NMV,144.91,-35.7
NMV30,NMV,144.91,-35.7
NNA01,NNA,146.5,-34.75
NNA02,NNA,146.5,-34.75
NNA03,NNA,146.5,-34.75
NNA04,NNA,146.5,-34.75
NNA05,NNA,146.5,-34.75
NNA06,NNA,146.5,-34.75
NNA07,NNA,146.5,-34.75
NNA08,NNA,146.5,-34.75
NNA09,NNA,146.5,-34.75
NNA10,NNA,146.5,-34.75
NNA11,NNA,146.5,-34.75
NNA12,NNA,146.5,-34.75
NNA13,NNA,146.5,-34.75
NNA14,NNA,146.5,-34.75
NNA15,NNA,146.5,-34.75
NNA16,NNA,146.5,-34.75
NNA17,NNA,146.5,-34.75
NNA18,NNA,146.5,-34.75
NNA19,NNA,146.5,-34.75
NNA20,NNA,146.5,-34.75
NTA02,NTA,147.68,-35.25
NTA04,NTA,147.68,-35.25
NTA05,NTA,147.68,-35.25
NTA06,NTA,147.68,-35.25
NTA09,NTA,147.68,-35.25
NTA10,NTA,147.68,-35.25
NTA11,NTA,147.68,-35.25
NTA12,NTA,147.68,-35.25
NTA13,NTA,147.68,-35.25
NTA14,NTA,147.68,-35.25
NTA15,NTA,147.68,-35.25
NTA16,NTA,147.68,-35.25
NTA17,NTA,147.68,-35.25
NTA19,NTA,147.68,-35.25
NTA20,NTA,147.68,-35.25
NTA22,NTA,147.68,-35.25
NTA24,NTA,147.68,-35.25
NTA25,NTA,147.68,-35.25
NTR01,NTR,147.09,-35.31
NTR05,NTR,147.09,-35.31
NTR07,NTR,147.09,-35.31
NTR10,NTR,147.09,-35.31
NTR13,NTR,147.09,-35.31
NTR16,NTR,147.09,-35.31
NTR21,NTR,147.09,-35.31
NTR22,NTR,147.09,-35.31
NTR23,NTR,147.09,-35.31
NTR24,NTR,147.09,-35.31
NTR25,NTR,147.09,-35.31
NTR26,NTR,147.09,-35.31
NTR27,NTR,147.09,-35.31
NTR28,NTR,147.09,-35.31
NTR29,NTR,147.09,-35.31
NTR30,NTR,147.09,-35.31
NTR31,NTR,147.09,-35.31
NTR32,NTR,147.09,-35.31
NTR33,NTR,147.09,-35.31
NTR34,NTR,147.09,-35.31
NTR35,NTR,147.09,-35.31
NTR36,NTR,147.09,-35.31
NTR38,NTR,147.09,-35.31
NTR39,NTR,147.09,-35.31
NTR40,NTR,147.09,-35.31
VBU01,VBU,142.18,-36.82
VBU03,VBU,142.18,-36.82
VBU05,VBU,142.18,-36.82
VBU06,VBU,142.18,-36.82
VBU08,VBU,142.18,-36.82
VBU09B,VBU,142.18,-36.82
VBU11,VBU,142.18,-36.82
