Population,Sample,Lon,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
EWN,EWN01,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN03,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN04,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN05,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN06,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN07,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN08,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN09,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
EWN,EWN10,148.24,-33.07,167,131,45,5614,321,34,287,235,132,239,95,617,69,37,15,174,140,174,140
VMJ,EWV01,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV03,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV05,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV06,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV07,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV08,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
VMJ,EWV09,143.14,-36.28,151,128,48,4854,302,37,265,118,214,214,90,411,48,24,23,133,74,74,122
NAL,NAL01,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL02,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL03,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL04,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL05,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL06,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL07,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL08,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL09,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL11,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL13,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
NAL,NAL14,147.48,-32.38,177,132,45,5751,330,38,292,245,114,250,102,533,64,30,21,171,108,162,109
